text,category
kulit wortel dan bonggol brokoli sisa pemecahan telur pembuatan adonan kue bakery pada talenan preparation.,PREP_WASTE
daging steak sirloin hangus berkerak di dasar panci dan timbul bau sangit di area deep fryer.,OVERCOOKED
daun selada hijau segar terkena cipratan cairan pembersih sabun pel lantai di pick-up table waiter.,CONTAMINATED
daging steak sirloin terlalu lama direbus tekstur hancur lebur kuah keruh gosong pada kompor saute.,OVERCOOKED
daun selada hijau segar kemasukan tetesan air kotor bocoran dari plafon exhaust dapur di lantai kitchen line.,CONTAMINATED
daging steak sirloin kelewat matang lembek hancur menjadi bubur saat proses plating order.,OVERCOOKED
nasi putih dan aneka lauk pauk sisa sajian meeting room korporat yang selesai lebih awal di display showcase pastry.,SURPLUS
nasi putih dan aneka lauk pauk sisa sajian meeting room korporat yang selesai lebih awal pada dispenser buffet sarapan.,SURPLUS
daging steak sirloin terlalu lama di wajan penggorengan hingga gosong pahit pada panci stock pot.,OVERCOOKED
nasi putih dan aneka lauk pauk sisa display etalase kafe malam hari yang tidak laku terjual di chiller holding akhir shift.,SURPLUS
nasi putih dan aneka lauk pauk sisa acara gathering tamu hotel yang tidak terkonsumsi pada meja katering ballroom.,SURPLUS
daging steak sirloin kelewat matang lembek hancur menjadi bubur di grill station.,OVERCOOKED
daging steak sirloin terbakar kering dan terasa pahit tidak bisa disajikan ke tamu pada panci stock pot.,OVERCOOKED
jamur kancing rasa asam tajam tidak wajar dan tekstur hancur berlendir,SPOILED
kulit wortel dan bonggol brokoli sisa pembersihan dan pemotongan persiapan sup pagi di fish station.,PREP_WASTE
kulit wortel dan bonggol brokoli hasil pembersihan kulit dan akar sayuran di meja butcher station.,PREP_WASTE
"minyak wijen botol tercatat lewat batas tanggal konsumsi aman di kemasan, buang segera",EXPIRED
lemak berlebih dan urat keras sisa proses fillet untuk menu ikan bakar banquet pada talenan preparation.,PREP_WASTE
potongan daging wagyu MB7 tercampur bahan alergen kacang yang dilarang pada pesanan khusus di pick-up table waiter.,CONTAMINATED
ikan salmon fillet segar kemasukan tetesan air kotor bocoran dari plafon exhaust dapur,CONTAMINATED
tomat merah layu menghitam membusuk dan berlendir di dalam chiller di ruang penyimpanan basah.,SPOILED
tomat merah bagian dalam busuk kehitaman berserat berlendir di chiller 1.,SPOILED
lemak berlebih dan urat keras sisa kupasan persiapan bumbu dasar dapur utama di fish station.,PREP_WASTE
kulit wortel dan bonggol brokoli sisa proses fillet untuk menu ikan bakar banquet pada bak pembuangan prep station.,PREP_WASTE
kulit jahe dan lengkuas sisa proses fillet untuk menu ikan bakar banquet,PREP_WASTE
nasi putih dan aneka lauk pauk kelebihan kuota masak harian dan tidak dapat dibekukan kembali di chiller holding akhir shift.,SURPLUS
daun selada hijau segar terkena cipratan cairan pembersih sabun pel lantai di meja saji banquet.,CONTAMINATED
kulit wortel dan bonggol brokoli hasil trimming kotor persiapan menu steak malam di meja butchery daging.,PREP_WASTE
Kondisi crust pizza mozarella: hangus hitam berasap pekat dan bau gosong tajam,OVERCOOKED
potongan daging wagyu MB7 kemasukan tetesan air kotor bocoran dari plafon exhaust dapur di area plating pass.,CONTAMINATED
saus bechamel keju hangus berkerak di dasar panci dan timbul bau sangit saat proses plating order.,OVERCOOKED
