image_id,category,skin_type,rgb_mean_r,rgb_mean_g,rgb_mean_b,rgb_std_r,rgb_std_g,rgb_std_b,lighting_condition,description,hygiene_note
SKIN_FACE_0022,FACE,FAIR_2,241.0,223.0,209.0,3.4921616093340533,1.6427985268217424,2.5320150961811865,NORMAL,"Terang, terbakar",Hand washing required
SKIN_FACE_0238,FACE,FAIR_2,236.0,227.0,194.0,2.1352286591623946,3.0231926429428064,2.5872911253772726,BRIGHT,"Terang, terbakar",Proper hygenic practice observed
SKIN_FACE_0241,FACE,FAIR_2,238.0,219.0,194.0,2.82902208847571,1.599744698989245,1.791170617722341,NORMAL,"Terang, terbakar",Clean visible skin detected
SKIN_FACE_0161,FACE,FAIR_1,244.0,224.0,215.0,3.6897449815665855,2.8138061042845575,2.3798318998617387,NORMAL,"Sangat terang, mudah terbakar",Hand washing required
SKIN_HAND_0412,HAND,FAIR_2,235.0,212.0,200.0,6.136999702428275,6.919598384403792,6.300915808233945,NORMAL,"Terang, terbakar",Hand washing required
SKIN_FACE_0179,FACE,FAIR_3,234.0,203.0,182.0,3.1373827459316663,2.7850386383124364,1.995355222555213,BRIGHT,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_FACE_0127,FACE,FAIR_2,252.0,218.0,192.0,2.985695929101104,2.2213923297933156,2.2752456020255587,NORMAL,"Terang, terbakar",Clean visible skin detected
SKIN_FACE_0014,FACE,FAIR_1,245.0,236.0,211.0,2.7520002137433655,2.6012891058485565,3.036064520450939,NORMAL,"Sangat terang, mudah terbakar",Hand washing required
SKIN_FACE_0360,FACE,FAIR_3,227.0,215.0,199.0,2.3195130115742204,3.2154226476772356,2.0126619039212432,BRIGHT,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0137,HAND,FAIR_1,248.0,223.0,207.0,6.5599922663789885,6.154456526243315,5.253123754371197,BRIGHT,"Sangat terang, mudah terbakar",Hand washing required
SKIN_FACE_0312,FACE,FAIR_2,248.0,223.0,202.0,1.8786836134231657,2.1097650014391784,2.2839272258724086,NORMAL,"Terang, terbakar",Proper hygenic practice observed
