text,category
Grilled chicken breast excess production batch end of dinner service - direject oleh kitchen manager,SURPLUS
Kentang goreng mengalami kekuatan tekstur berubah keras saat setelah oven baking. Harus direject oleh kitchen manager,OVERCOOKED
"laporan staff shift: Batang seledri bagian tak terpakai dari prep di sink area, noted dalam daily waste report",PREP_WASTE
Telur ayam mengalami berlendir keputihan saat di rak pantry. Harus direject oleh kitchen manager,SPOILED
Soup tomato tersentuh oleh hands bare di plating area - harus dibuatkan waste log entry,CONTAMINATED
Daging sapi cincang berjamur hijau kebiruan di rak pantry - wajib segera dibuang sesuai SOP,SPOILED
"inspeksi menemukan Telur ayam berjamur hijau kebiruan di dry storage, wajib segera dibuang sesuai SOP",SPOILED
"kondisi aktual: Minyak zaitun sudah melewati MHD 2 minggu di refrigerated section, harus dibuatkan waste log entry",EXPIRED
Portion rice kondisi leftover setelah shift prepped but unserved noted dalam daily waste report.,SURPLUS
Sayuran brokoli kondisi keras sekali terlalu overdone dari kompor main stove direject oleh kitchen manager.,OVERCOOKED
Steamed broccoli kondisi over-prepared untuk service end of dinner service noted dalam daily waste report.,SURPLUS
Laporan: Sayuran brokoli ditemukan kekuatan tekstur berubah keras di grilled on BBQ. direject oleh kitchen manager,OVERCOOKED
"catatan chef: Noodle dish tersentuh paper towel kotor di plating area, noted dalam daily waste report",CONTAMINATED
"inspeksi menemukan Rice pilaf keras sekali terlalu overdone dari deep fryer, harus dibuatkan waste log entry",OVERCOOKED
Laporan: Susu cream ditemukan expired date terlampaui di di refrigerated section. disposal required immediately,EXPIRED
Rice bowl mengalami terkontaminasi hair saat di plating area. Harus disposal required immediately,CONTAMINATED
Laporan: Susu cream ditemukan expired date hari ini di in cooler cabinet. disposal required immediately,EXPIRED
Ikan cod fillet mengalami terlalu gosong kecoklatan saat setelah oven baking. Harus noted dalam daily waste report,OVERCOOKED
Saus tiram expired date hari ini pada cold storage rack - direject oleh kitchen manager,EXPIRED
Portion rice mengalami excess production batch saat after lunch rush. Harus direject oleh kitchen manager,SURPLUS
Laporan: Potongan wortel ditemukan over-trimmed during prep di pada cutting board. harus dibuatkan waste log entry,PREP_WASTE
Mayonaise telah lewat expired date 3 hari in cooler cabinet - harus dibuatkan waste log entry,EXPIRED
Minyak zaitun sudah melewati MHD 2 minggu in cooler cabinet - wajib segera dibuang sesuai SOP,EXPIRED
Noodle dish tersentuh oleh hands bare di service counter - disposal required immediately,CONTAMINATED
Ketchup kondisi expired date hari ini di refrigerated section noted dalam daily waste report.,EXPIRED
Laporan: Ujung daun bawang ditemukan sisa trimming yang banyak di during vegetable prep. disposal required immediately,PREP_WASTE
Laporan: Batang asparagus ditemukan bagian tak terpakai dari prep di di sink area. harus dibuatkan waste log entry,PREP_WASTE
Laporan: Keju cheddar ditemukan expired date terlampaui di pada cold storage rack. harus dibuatkan waste log entry,EXPIRED
Grilled chicken breast mengalami tidak tersentuh customer saat prepped but unserved. Harus direject oleh kitchen manager,SURPLUS
Portion rice mengalami over-prepared untuk service saat after lunch rush. Harus direject oleh kitchen manager,SURPLUS
" Portion rice over-prepared untuk service end of dinner service, direject oleh kitchen manager",SURPLUS
Rice bowl tersentuh paper towel kotor at garnish station - disposal required immediately,CONTAMINATED
"catatan chef: Keju cheddar expired date terlampaui di dry goods shelf, harus dibuatkan waste log entry",EXPIRED
Rice bowl mengalami terkontaminasi hair saat di service counter. Harus disposal required immediately,CONTAMINATED
Tahu segar mengalami berjamur hijau kebiruan saat di chiller utama. Harus direject oleh kitchen manager,SPOILED
Steamed broccoli excess production batch in holding warmer - harus dibuatkan waste log entry,SURPLUS
Portion rice mengalami tidak terjual hari ini saat end of dinner service. Harus disposal required immediately,SURPLUS
Potongan wortel terbuang saat pemotongan during vegetable prep - harus dibuatkan waste log entry,PREP_WASTE
Laporan: Noodle dish ditemukan tersentuh paper towel kotor di di plating area. disposal required immediately,CONTAMINATED
Ujung daun bawang mengalami bagian tak terpakai dari prep saat pada cutting board. Harus wajib segera dibuang sesuai SOP,PREP_WASTE
Rice bowl kondisi tercampur cleaning chemical spray di plating area direject oleh kitchen manager.,CONTAMINATED
Salad Caesar kondisi jatuh ke lantai langsung at garnish station noted dalam daily waste report.,CONTAMINATED
"kondisi aktual: Steamed broccoli tidak tersentuh customer in holding warmer, harus dibuatkan waste log entry",SURPLUS
Saus tiram kondisi telah lewat expired date 3 hari pada cold storage rack direject oleh kitchen manager.,EXPIRED
"inspeksi menemukan Keju cheddar sudah melewati MHD 2 minggu in cooler cabinet, disposal required immediately",EXPIRED
Laporan: Daging sapi cincang ditemukan berlendir keputihan di di counter prep station. disposal required immediately,SPOILED
Salad Caesar mengalami tersentuh oleh hands bare saat di plating area. Harus wajib segera dibuang sesuai SOP,CONTAMINATED
"laporan staff shift: Keju cheddar terlewat 1 minggu dari expiry di refrigerated section, wajib segera dibuang sesuai SOP",EXPIRED
Kentang goreng keras sekali terlalu overdone grilled on BBQ - noted dalam daily waste report,OVERCOOKED
" Fresh fruit salad leftover setelah shift after lunch rush, harus dibuatkan waste log entry",SURPLUS
Tahu segar berlendir keputihan di chiller utama - harus dibuatkan waste log entry,SPOILED
Rice bowl kondisi tersentuh oleh hands bare di plating area direject oleh kitchen manager.,CONTAMINATED
"inspeksi menemukan Potongan wortel sisa trimming yang banyak di sink area, harus dibuatkan waste log entry",PREP_WASTE
Soup tomato tercampur cleaning chemical spray di plating area - disposal required immediately,CONTAMINATED
" Potongan wortel sisa trimming yang banyak di prep station, harus dibuatkan waste log entry",PREP_WASTE
Laporan: Noodle dish ditemukan jatuh ke lantai langsung di at garnish station. harus dibuatkan waste log entry,CONTAMINATED
Sandwich club mengalami terkontaminasi hair saat di plating area. Harus harus dibuatkan waste log entry,CONTAMINATED
Tahu segar berlendir kekuningan di rak pantry - direject oleh kitchen manager,SPOILED
Steak sapi ribeye kondisi terlalu gosong kecoklatan dari kompor main stove direject oleh kitchen manager.,OVERCOOKED
Chicken stock kondisi excess production batch end of dinner service harus dibuatkan waste log entry.,SURPLUS
"inspeksi menemukan Ayam segar berbau busuk tidak sedap di chiller utama, harus dibuatkan waste log entry",SPOILED
"kondisi aktual: Ujung daun bawang excessive peeling waste pada cutting board, noted dalam daily waste report",PREP_WASTE
Grilled chicken breast kondisi tidak tersentuh customer prepped but unserved wajib segera dibuang sesuai SOP.,SURPLUS
Potongan wortel kondisi terbuang saat pemotongan di prep station direject oleh kitchen manager.,PREP_WASTE
Fresh fruit salad kondisi tidak tersentuh customer in holding warmer disposal required immediately.,SURPLUS
Noodle dish mengalami terkontaminasi hair saat di plating area. Harus wajib segera dibuang sesuai SOP,CONTAMINATED
Soup tomato jatuh ke lantai langsung di service counter - noted dalam daily waste report,CONTAMINATED
Rice bowl tercampur cleaning chemical spray di service counter - wajib segera dibuang sesuai SOP,CONTAMINATED
